row,展示会名,会期(開始),開始曜日,会期(終了),終了曜日,利用施設,開催時間,最終日の終了時刻（●:30分前に終了 ▲:1時間前に終了 ■:2時間前に終了）,来場対象者,入場料について,内容,連絡先,TEL,URL
35,ハンドメイドインジャパンフェス2023,2023/07/22,土,2023/07/23,日,西1・2,11:00-19:00,,一般,1300,この夏10周年を迎える、日本最大級・クリエイターの祭典,HMJ運営事務局,,https://hmj-fes.jp/
36,メンテナンス・レジリエンス TOKYO 2023,2023/07/26,水,2023/07/28,金,東1-6,10:00-17:00,,商談,無料 (要登録),製造業建設業の生産性向上、持続可能な社会資本整備、レジリエンス向上を目指す展示会,一般社団法人日本能率協会メンテナンス・レジリエンス事務局,03-3434-1988,https://www.jma.or.jp/mente/
37,TECHNO-FRONTIER 2023,2023/07/26,水,2023/07/28,金,東1-6,10:00-17:00,,商談,無料 (要登録)ウェブをご参照ください,商談と技術革新をサポートするアジア最大級の専門トレードショー＆カンファレンス,TECHNO-FRONTIER 事務局,03-3434-0587,https://www.jma.or.jp/tf/
38,第9回 東京 猛暑対策展,2023/07/26,水,2023/07/28,金,東1-6,10:00-17:00,,商談,無料 (要登録),暑さに対する課題解決を行うことに特化した専門展示会,一般社団法人日本能率協会猛暑対策展／労働安全衛生展／騒音・振動対策展 事務局,03-3434-1988,https://www.jma-stt.com/exhibition/tokyo.html
39,INDUSTRY-FRONTIER2023,2023/07/26,水,2023/07/28,金,東1-6,10:00-17:00,,商談,無料 (要登録)ウェブをご参照ください,商談と技術革新をサポートする アジア最大級の専門トレードショー＆カンファレンス,TECHNO-FRONTIER 事務局,03-3434-0587,https://www.jma.or.jp/tf/
40,第10回 東京 労働安全衛生展,2023/07/26,水,2023/07/28,金,東1-6,10:00-17:00,,商談,無料 (要登録),働く人の安全・健康・快適な職場づくりを支援することを目的とした展示会,一般社団法人日本能率協会猛暑対策展／労働安全衛生展／騒音・振動対策展 事務局,03-3434-1988,https://www.jma-stt.com/exhibition/tokyo.html
41,第2回 東京 騒音・振動対策展,2023/07/26,水,2023/07/28,金,東1-6,10:00-17:00,,商談,無料 (要登録),騒音・振動に関する唯一の専門展示会,一般社団法人日本能率協会猛暑対策展／労働安全衛生展／騒音・振動対策展 事務局,03-3434-1988,https://www.jma-stt.com/index.html#safty
42,ナース専科就職ナビ　合同就職説明会2025 in summer,2023/07/29,土,2023/07/29,土,西3,12:00-17:00,,一般,無料,看護学生向け就職説明会,株式会社エス・エム・エス,03-6721-2449,
43,I・Doll VOL.68,2023/07/29,土,2023/07/29,土,西4,11:30-16:30,,一般,￥2000 (前売あり),アジア最大級のドールフェス/ドール・フィギュア・ハンドメイド関連の展示即売会,I・Doll実行委員会,,https://www.idollweb.net/tokyo-68/
44,SPORTEC2023,2023/08/02,水,2023/08/04,金,東1-3,10:00-17:00,,商談,￥2000 (事前登録者無料)ウェブをご参照ください事務局へお問合せください,日本最大のスポーツ・健康まちづくり総合展,SPORTEC事務局,03-5363-1701,https://sports-st.com/
45,健康・未病産業展2023【Well-being IAPAN】,2023/08/02,水,2023/08/04,金,東1-3,10:00-17:00,,商談,￥2000 (事前登録者無料)ウェブをご参照ください事務局へお問合せください,ウェルネスライフ実現のための機器・サービス専門展示会,健康・未病産業展2023事務局,03-5363-1701,https://wbjapan.jp/
46,第2回ゴルフパフォーマンスコンベンション,2023/08/02,水,2023/08/04,金,東2,10:00-17:00,,商談,￥2000 (事前登録者無料)ウェブをご参照ください事務局へお問合せください,ゴルフ専用のトレーニング・分析・測定機器、アカデミアが一堂に集結,ゴルフパフォーマンスコンベンション事務局,03-5363-1701,https://golf-show.jp/
47,CAFERES JAPAN2023,2023/08/02,水,2023/08/04,金,東4-6,10:00-17:00,,商談,￥2000 (事前登録者無料)ウェブをご参照ください事務局へお問合せください,日本最大級のカフェ・ベーカリー・レストラン総合展,CAFERES JAPAN事務局,03-5363-1701,https://caferes.jp/
48,ウェルネスフードジャパン2023,2023/08/02,水,2023/08/04,金,東4-6,10:00-17:00,,商談,￥2000 (事前登録者無料)ウェブをご参照ください事務局へお問合せください,健康食品・機能性食品と素材の専門展示会,ウェルネスフードジャパン事務局,03-5363-1701,https://wfjapan.com/
49,第2回国際発酵・醸造食品産業展,2023/08/02,水,2023/08/04,金,東5・6,10:00-17:00,,商談,￥2000 (事前登録者無料)ウェブをご参照ください事務局へお問合せください,発酵・醸造食品の製造・研究・開発のための食材・機器専門展,国際発酵・醸造食品産業展事務局,03-5363-1701,https://hakkoexpo.jp/
50,第5回国際和食産業展,2023/08/02,水,2023/08/04,金,東5・6,10:00-17:00,,商談,￥2000 (事前登録者無料)ウェブをご参照ください事務局へお問合せください,日本伝統の食品・飲料・調理器具が集まる専門展示会,国際和食産業展事務局,03-5363-1701,https://riceexpo.jp
51,第2回和麺産業展,2023/08/02,水,2023/08/04,金,東5・6,10:00-17:00,,商談,￥2000 (事前登録者無料)ウェブをご参照ください事務局へお問合せください,日本で生まれた麺向け食材・機器が一堂に集まる専門展示会,和麺産業展事務局,03-5363-1701,https://riceexpo.jp/noodle/
52,第22回国際鉄道模型コンベンション,2023/08/18,金,2023/08/20,日,東1,10:00-18:00,▲,一般,￥1500 (前売あり)ウェブをご参照ください,鉄道模型モデラーとメーカーが大集合する日本最大級の祭典。,国際鉄道模型コンベンション 実行委員会,334503499,https://kokusaitetsudoumokei-convention.jp/
53,第23回JAPANドラッグストアショー,2023/08/18,金,2023/08/20,日,東3-6,10:00-17:00,,商談/一般,無料ウェブをご参照ください,ドラッグストアとその業界に関連する健康・美容・食品等の商品を一堂に集めた展示会,JAPANドラッグストアショー推進事務局,03-6206-0067,https://www.drugstoreshow.jp/
54,第23回JAPANドラッグストアショー for ビジネス,2023/08/18,金,2023/08/19,土,東3,10:00-17:00,,商談,無料ウェブをご参照ください,ドラッグストアとその業界に関連する健康・美容・食品等の商品を一堂に集めた展示会,JAPANドラッグストアショー推進事務局,03-6206-0067,https://www.drugstoreshow.jp/
55,触れて楽しむ！木のワンダーランド WOOD COLLECTION 2023「JAPAN ReWOOD」,2023/08/18,金,2023/08/20,日,西3,10:00-17:00,▲,商談/一般,無料,国産木材の活用促進を目的とした多摩産材や全国の地域材を活用した木材製品の展示会,WOOD COLLECTION2023「JAPAN ReWOOD」運営事務局,03-4540-6362,
56,アマチュア無線フェスティバル ハムフェア2023,2023/08/19,土,2023/08/20,日,南3・4,10:00-17:00,▲,一般,￥2000 (前売あり)ウェブをご参照ください,アマチュア無線の健全な発展と技術の向上を図るため、これらに関する展示や催事,一般社団法人日本アマチュア無線連盟,03-3988-8749,https://www.jarl.org/
57,第2回 バックオフィスDXPO東京’23,2023/08/22,火,2023/08/23,水,東7・8,9:30-18:00,■,商談,無料 (要登録)ウェブをご参照ください,管理部門の業務効率化・DX推進のためのITソリューション総合展,バックオフィスDXPO事務局,03-6809-4451,https://dxpo.jp/real/box/tokyo/
58,第2回 営業・マーケ／広告・販促／店舗・EC DXPO東京’23,2023/08/24,木,2023/08/25,金,東7,9:30-17:00,,商談,無料 (要登録)ウェブをご参照ください,売上アップ・業務効率化・DX推進のためのITソリューション総合展,営業・マーケ／広告・販促／店舗・EC DXPO事務局,03-6809-4451,https://dxpo.jp/real/fox/tokyo/
59,第16回「アグリフードEXPO東京2023」,2023/08/23,水,2023/08/24,木,東4,10:00-17:00,▲,商談,無料 (要登録),プロ農業者たちの国産農産物・展示商談会,エグジビション テクノロジーズ株式会社,03-5775-2855,
60,第25回「ジャパン・インターナショナル・シーフードショー」,2023/08/23,水,2023/08/25,金,東5・6,10:00-17:00,▲,商談,無料 (要登録),魚・水産品の見本市,「シーフードショー」事務局／エグジビションテクノロジーズ（株）,03-5775-2855,https://seafoodshow-japan.com/tokyo/
61,第44回ジャパン建材フェア,2023/08/24,木,2023/08/25,金,東1-3,8/24 9:30～17:00，8/25 9:00～16:00,,商談/一般,無料 (要登録),建築資材や住宅関連機器会社が一堂に介し、新商品等ご紹介する住宅総合建材展示即売会,ジャパン建材フェア事務局,,https://jkfair.jkenzai.co.jp/event/7333
62,第9回エンディング産業展,2023/08/29,火,2023/08/31,木,南1・2,10:00-17:00,,商談,￥2000 (事前登録者無料)ウェブをご参照ください事務局へお問合せください,葬儀・埋葬・供養・相続などの終活産業に関する日本最大の専門展,エンディング産業展事務局,03-6374-8040,https://ifcx.jp/
63,ジャパンジュエリーフェア2023,2023/08/30,水,2023/09/01,金,東5・6,10:00-18:00,▲,商談,￥3000 (事前登録者無料),B toBの国際ジュエリー展。プロのための仕入れ、買い付けのための展示会。,JJF運営事務局,03-5296-1020,https://www.japanjewelleryfair.com/
64,GOOD LIFE フェア 2023,2023/09/01,金,2023/09/03,日,東2・3,10:00-18:00,▲,商談/一般,￥1300 (招待券持参者無料),「心地よい豊かな暮らし」のヒントがみつかるサステナブル・ライフスタイル・イベント,GOOD LIFE フェア事務局,03-3541-3515,https://goodlife-fair.jp
65,COMITIA145,2023/09/03,日,2023/09/03,日,東4-6,11:00-16:00,,一般,￥1500 (前売あり)ウェブをご参照ください,自主制作漫画誌展示即売会,コミティア実行委員会,,https://www.comitia.co.jp/
66,第96回東京インターナショナル・ギフト・ショー秋2023,2023/09/06,水,2023/09/08,金,東1-6、西1・2,10:00-18:00,▲,商談,無料 (要登録),日本最大のパーソナルギフトと生活雑貨の国際見本市,インターナショナル・ギフト・ショー事務局,03-3843-9851,https://www.giftshow.co.jp/tigs/
67,東京インターナショナル・ギフト・ショー秋2023 第14回LIFEXDESIGN,2023/09/06,水,2023/09/08,金,西1・2,10:00-18:00,▲,商談,無料 (要登録),暮らし方から住まいをデザインする、リノベーションのための見本市,LIFE×DESIGN事務局,03-3843-9711,https://www.giftshow.co.jp/tigs/life14/
68,第34回グルメ＆ダイニングスタイルショー秋2023,2023/09/06,水,2023/09/08,金,西2,10:00-18:00,▲,商談,無料 (要登録),地域のプレミアムフードが集まる、品質・ライフスタイル志向の食の見本市,グルメ＆ダイニングスタイルショー事務局,03-3847-9853,https://www.gourmetdiningstyleshow.com/34gds/
69,LIVING＆DESIGN2023,2023/09/06,水,2023/09/08,金,西1,10:00-18:00,▲,商談,無料,トータルインテリアの国際見本市,LIVING＆DESIGN事務局,03-3843-9711,https://www.living-and-design.com/
70,第96回東京インターナショナル・ギフト・ショー秋2023 ヤングファッション＆キッズスタッフフェア,2023/09/06,水,2023/09/08,金,東1・2,10:00-18:00,▲,商談,無料 (要登録),日本最大のパーソナルギフトと生活雑貨の国際見本市,インターナショナル・ギフト・ショー事務局,338439851,https://www.giftshow.co.jp/tigs/96tigs/
71,第96回東京インターナショナル・ギフト・ショー秋2023 ベビー＆キッズフェア,2023/09/06,水,2023/09/08,金,東1,10:00-18:00,▲,商談,無料 (要登録),日本最大のパーソナルギフトと生活雑貨の国際見本市,インターナショナル・ギフト・ショー事務局,338439851,https://www.giftshow.co.jp/tigs/96tigs/
72,第96回東京インターナショナル・ギフト・ショー秋2023 ステーショナリー＆ペーパーグッズフェア,2023/09/06,水,2023/09/08,金,東1,10:00-18:00,▲,商談,無料 (要登録),日本最大のパーソナルギフトと生活雑貨の国際見本市,インターナショナル・ギフト・ショー事務局,338439851,https://www.giftshow.co.jp/tigs/96tigs/
73,第96回東京インターナショナル・ギフト・ショー秋2023 アニメ・コミック＆キャラクターライセンスフェア,2023/09/06,水,2023/09/08,金,東2,10:00-18:00,▲,商談,無料 (要登録),日本最大のパーソナルギフトと生活雑貨の国際見本市,インターナショナル・ギフト・ショー事務局,338439851,https://www.giftshow.co.jp/tigs/96tigs/
74,第96回東京インターナショナル・ギフト・ショー秋2023 ビューティー＆コスメティックフェア,2023/09/06,水,2023/09/08,金,東5,10:00-18:00,▲,商談,無料 (要登録),日本最大のパーソナルギフトと生活雑貨の国際見本市,インターナショナル・ギフト・ショー事務局,338439851,https://www.giftshow.co.jp/tigs/96tigs/
75,第96回東京インターナショナル・ギフト・ショー秋2023 生活雑貨フェア,2023/09/06,水,2023/09/08,金,東5・6,10:00-18:00,▲,商談,無料 (要登録),日本最大のパーソナルギフトと生活雑貨の国際見本市,インターナショナル・ギフト・ショー事務局,338439851,https://www.giftshow.co.jp/tigs/96tigs/
76,第96回東京インターナショナル・ギフト・ショー秋2023 おしゃれ雑貨＆レザーグッズフェア,2023/09/06,水,2023/09/08,金,東2・3,10:00-18:00,▲,商談,無料 (要登録),日本最大のパーソナルギフトと生活雑貨の国際見本市,インターナショナル・ギフト・ショー事務局,338439851,https://www.giftshow.co.jp/tigs/96tigs/
77,第96回東京インターナショナル・ギフト・ショー秋2023 アパレルファッションフェア,2023/09/06,水,2023/09/08,金,東3,10:00-18:00,▲,商談,無料 (要登録),日本最大のパーソナルギフトと生活雑貨の国際見本市,インターナショナル・ギフト・ショー事務局,338439851,https://www.giftshow.co.jp/tigs/96tigs/
78,第96回東京インターナショナル・ギフト・ショー秋2023 ファッションアクセサリーフェア,2023/09/06,水,2023/09/08,金,東2,10:00-18:00,▲,商談,無料 (要登録),日本最大のパーソナルギフトと生活雑貨の国際見本市,インターナショナル・ギフト・ショー事務局,338439851,https://www.giftshow.co.jp/tigs/96tigs/
79,第96回東京インターナショナル・ギフト・ショー秋2023 ホームファニシング＆デコラティブフェア,2023/09/06,水,2023/09/08,金,東4・5,10:00-18:00,▲,商談,無料 (要登録),日本最大のパーソナルギフトと生活雑貨の国際見本市,インターナショナル・ギフト・ショー事務局,338439851,https://www.giftshow.co.jp/tigs/96tigs/
80,第96回東京インターナショナル・ギフト・ショー秋2023 フラワー・グリーン＆ガーデングッズフェア,2023/09/06,水,2023/09/08,金,東4・5,10:00-18:00,▲,商談,無料 (要登録),日本最大のパーソナルギフトと生活雑貨の国際見本市,インターナショナル・ギフト・ショー事務局,338439851,https://www.giftshow.co.jp/tigs/94tigs/
81,第96回東京インターナショナル・ギフト・ショー秋2023 香りの商品フェア,2023/09/06,水,2023/09/08,金,東5,10:00-18:00,▲,商談,無料 (要登録),日本最大のパーソナルギフトと生活雑貨の国際見本市,インターナショナル・ギフト・ショー事務局,338439851,https://www.giftshow.co.jp/tigs/96tigs/
82,第96回東京インターナショナル・ギフト・ショー秋2023 Ethical Styleフェア,2023/09/06,水,2023/09/08,金,東5,10:00-18:00,▲,商談,無料 (要登録),日本最大のパーソナルギフトと生活雑貨の国際見本市,インターナショナル・ギフト・ショー事務局,338439851,https://www.giftshow.co.jp/tigs/94tigs/
83,第96回東京インターナショナル・ギフト・ショー秋2023 インポートギフトフェア,2023/09/06,水,2023/09/08,金,東3・6,10:00-18:00,▲,商談,無料 (要登録),日本最大のパーソナルギフトと生活雑貨の国際見本市,インターナショナル・ギフト・ショー事務局,338439851,https://www.giftshow.co.jp/tigs/94tigs/
84,東京インターナショナル・ギフト・ショー秋2023 第14回LIFEXDESIGN アクティブデザイン＆クラフトフェア,2023/09/06,水,2023/09/08,金,東1-6、西1・2,10:00-18:00,▲,商談,無料 (要登録),暮らし方から住まいをデザインする、リノベーションのための見本市,LIFE×DESIGN事務局,338439711,https://www.giftshow.co.jp/tigs/life14/
85,東京インターナショナル・ギフト・ショー秋2023 第14回LIFEXDESIGN 伝統とmodernの日本ブランドフェア,2023/09/06,水,2023/09/08,金,東1-6、西1・2,10:00-18:00,▲,商談,無料 (要登録),暮らし方から住まいをデザインする、リノベーションのための見本市,LIFE×DESIGN事務局,338439711,https://www.giftshow.co.jp/tigs/life14/
86,東京インターナショナル・ギフト・ショー秋2023 第14回LIFEXDESIGN リノベーションゾーン,2023/09/06,水,2023/09/08,金,東1-6、西1・2,10:00-18:00,▲,商談,無料 (要登録),暮らし方から住まいをデザインする、リノベーションのための見本市,LIFE×DESIGN事務局,03-3843-9711,https://www.giftshow.co.jp/tigs/life14/
87,センサエキスポジャパン 2023,2023/09/13,水,2023/09/15,金,東4-6,10:00-17:00,,商談,無料 (要登録),IoTを実現するセンサーとその応用技術、機器、システム、ネットワークに関する展示会,産経新聞社,03-3273-6180,https://www.sensorexpojapan.com/
88,測定計測展2023,2023/09/13,水,2023/09/15,金,東4-6,10:00-17:00,,商談,無料 (要登録),測定・計測関連の機器・技術が一堂に集まる国内唯一の展示会,産経新聞社,03-3273-6180,https://www.mt-expo.jp/
89,TEST2023 第17回総合試験機器展,2023/09/13,水,2023/09/15,金,東4-6,10:00-17:00,,商談,無料 (要登録),材料試験＆環境試験と計測、評価に関する国内唯一の総合展,株式会社シー・エヌ・ティ,03-5297-8855,http://www.cnt-inc.co.jp/test/
90,第25回自動認識総合展,2023/09/13,水,2023/09/15,金,東4-6,10:00-17:00,,商談,無料 (要登録),バーコード、RFID、画像認識など自動認識製品・技術とソリューションの展示会,株式会社シー・エヌ・ティ,03-5297-8855,https://www.autoid-expo.com/tokyo/
91,第32回 2023特許・情報フェア＆コンファレンス,2023/09/13,水,2023/09/15,金,東4-6,10:00-17:00,,商談,無料 (要登録),特許・実用新案に加えて、意匠・商標などにも対象を広げた知的財産の総合展,産経新聞社,03-3273-6180,https://pifc.jp/2023/
92,国際物流総合展2023 第3回 INNOVATION EXPO,2023/09/13,水,2023/09/15,金,西1-4,10:00-17:00,,商談,無料 (要登録), 物流 にフォーカスした交易振興・技術向上・情報提供・人的交流等を促進する展示会,国際物流総合展事務局,,https://www.logis-tech-tokyo.gr.jp/ie/
93,エヌプラス(N-Plus)2023　「New」「Next」をプラスする製品開発技術展,2023/09/13,水,2023/09/15,金,南3,10:00-17:00,,商談/一般,無料 (要登録)事務局へお問合せください,全12のキーワード別展示会から成る「ものづくり」の複合展です,エヌプラス事務局,03-3503-7621,https://www.n-plus.biz/
