row,展示会名,会期(開始),開始曜日,会期(終了),終了曜日,利用施設,開催時間,最終日の終了時刻（●:30分前に終了　▲:1時間前に終了　■:2時間前に終了）,来場対象者,入場料について,内容,連絡先,TEL,URL
11,第12回 食品＆飲料OEMマッチングEXPO,2024/04/10,水,2024/04/12,金,東4-7,10:00-17:00,,商談,￥5000 (事前登録者無料),委託先と受託先を結ぶ食品と飲料のPB・OEMに特化した専門商談展,日本食糧新聞社 展示会運営事務局（株式会社エヌイーオー企画内）,03-5843-6536,https://pboemfair.com/
12,プレミアム・フードショー2024,2024/04/10,水,2024/04/12,金,東4-7,10:00-17:00,,商談,￥5000 (事前登録者無料)事務局へお問合せください,多様化するニーズに対応する食品・食材展 国内外に向け、これからの食の価値を提案！,プレミアム・フードショー実行委員会,03-3545-9811,http://premiumfoodshow.jp/hmf/about/
13,ISM Japan 2024 国際菓子専門見本市,2024/04/10,水,2024/04/12,金,東4-7,10:00-17:00,,商談,￥5000 (事前登録者無料),ISMジャパンは日本および東アジア市場において、業界唯一の国際菓子専門見本市です。,ケルンメッセ株式会社,03-5357-1280,https://www.ism-japan.jp/
14,ProWine Tokyo（国際ワイン・アルコール飲料展）,2024/04/10,水,2024/04/12,金,東4-7,10:00-17:00,,商談,￥5000 (事前登録者無料),日本で唯一のワインアルコール飲料の専門展として皆様にプラットフォームを提供します,メッセ・デュッセルドルフ・ジャパン,,https://www.prowine-tokyo.com/
15,アヌーガ･セレクト･ジャパン2024,2024/04/10,水,2024/04/12,金,東4-7,,,商談,￥5000 (事前登録者無料),あらゆる種類の健康的で持続可能な食品と飲料が一堂に会します,ケルンメッセ株式会社,,https://www.anuga-japan.com/participation-and-planning/for-exhibitors/become-an-exhibitor/
16,骨董グランデ,2024/04/12,金,2024/04/14,日,西3,10:00-17:00,,一般,1000,骨董ディーラー数250店舗が集合した骨董の祭典,(株)西洋堂,070-3828-8623,https://antique-grande.com/
17,医療機器の製造・設計に関する展示会・セミナー Medtec Japan,2024/04/17,水,2024/04/19,金,東2・3,10:00-17:00,,商談,無料 (要登録),医療機器の製造・設計に関する展示会・セミナー,Medtec Japan事務局,,https://medtecjapan.com/
18,Medical Electronics Expo 医療用エレクトロニクス展,2024/04/17,水,2024/04/19,金,東2・3,10:00-17:00,,商談,無料 (要登録),医療用電子機器の設計・製造するためのあらゆる製品・技術を集結させた専門展,Medtec Japan事務局,,https://medtecjapan.com/
19,Medical ICT / Home Healthcare Expo 医療ICT・在宅医療展,2024/04/17,水,2024/04/19,金,東2・3,10:00-17:00,,商談,無料 (要登録),通信サービスを使用した医療、在宅医療に特化した展示,Medtec Japan事務局,,https://medtecjapan.com/
20,メディカルシティ・災害医療・防災安全展,2024/04/17,水,2024/04/19,金,東2・3,10:00-17:00,,商談,無料 (要登録),医療機器設計・製造から視野を広げ、地域医療・防災医療・災害医療の創造技術開発へ ,Medtec Japan事務局,,https://medtecjapan.com/
21,Test Kit Expo 検査キット 完成品＆開発展,2024/04/17,水,2024/04/19,金,東2・3,10:00-17:00,,商談,無料 (要登録),血液検査、アレルギー検査キット、試薬等の検査キットの製造・開発技術展,Medtec Japan事務局,,https://medtecjapan.com/
22,CPHI Japan 2024（国際医薬品開発展）,2024/04/17,水,2024/04/19,金,東4-6,10:00-17:00,,商談,無料 (要登録),国際医薬品開発展,CPHI Japan運営事務局,03-5296-1020,https://www.cphijapan.com/
23,ファーマIT＆デジタルヘルス エキスポ 2024,2024/04/17,水,2024/04/19,金,東4,10:00-17:00,,商談,無料 (要登録),製薬業界におけるデジタル活用を推進、業界の未来創造とQOLを向上するための展示会,CPHI Japan / ファーマITデジタルヘルス エキスポ運営事務局,03-5296-1020,https://www.pharmait-expo.com/
24,第11回 FaW TOKYO（ファッションワールド 東京）【春】,2024/04/17,水,2024/04/19,金,西1-4,10:00-18:00,▲,商談,無料 (要登録),世界中からファッション商材・素材が出展する日本最大のファッション総合展,主催者 RX Japan株式会社,03-6739-4108,https://www.fashion-tokyo.jp/spring/ja-jp.html
25,第4回 サステナブルファッションEXPO【春】,2024/04/17,水,2024/04/19,金,西1-4,10:00-18:00,▲,商談,無料 (要登録),サステナビリティを考慮したファッション製品・素材が世界中から出展する商談展,主催者 RX Japan株式会社,03-6739-4108,https://www.fashion-tokyo.jp/spring/ja-jp/about/sus.html
26,第3回 ファッションテック EXPO 【春】,2024/04/17,水,2024/04/19,金,西1-4,10:00-18:00,▲,商談,無料 (要登録),ファッション業界向けのDX・テック・ITサービスが世界中から出展する専門展,主催者 RX Japan株式会社,03-6739-4108,https://www.fashion-tokyo.jp/spring/ja-jp/about/fdx.html
27,第11回 ジャパン ファッション EXPO 【春】,2024/04/17,水,2024/04/19,金,西1-4,10:00-18:00,▲,商談,無料 (要登録),国産製品や素材、日本の新鋭デザイナーのブランドなどが出展する、年間最大の商談の場,主催者 RX Japan株式会社,03-6739-4108,https://www.fashion-tokyo.jp/spring/ja-jp/about/jfa.html
28,第11回 ブランド&デザイナー  EXPO 【春】,2024/04/17,水,2024/04/19,金,西1-4,10:00-18:00,▲,商談,無料 (要登録),世界30か国のファッションブランドが出展する国際商談展。,主催者 RX Japan株式会社,03-6739-4108,https://www.fashion-tokyo.jp/spring/ja-jp/about/ifa.html
29,第9回 生地・素材EXPO【春】,2024/04/17,水,2024/04/19,金,西1-4,10:00-18:00,▲,商談,無料 (要登録),様々な特色を持つアパレル生地や素材が出展する展示会。,主催者 RX Japan株式会社,03-6739-4108,https://www.fashion-tokyo.jp/spring/ja-jp/about/textile.html
30,第9回 アジアの縫製・生産工場EXPO【春】,2024/04/17,水,2024/04/19,金,西1-4,10:00-18:00,▲,商談,無料 (要登録),中国、ベトナム、バングラデシュなど、アジアの縫製・生産工場が一同に集結。,主催者 RX Japan株式会社,03-6739-4108,https://www.fashion-tokyo.jp/spring/ja-jp/about/oem.html
31,第1回 健康・美容・スポーツウェア EXPO 【春】,2024/04/17,水,2024/04/19,金,西1-4,10:00-18:00,▲,商談,無料 (要登録),ウェルネスな付加価値を備えるファッション製品・素材が出展する展示会。,主催者 RX Japan株式会社,03-6739-4108,https://www.fashion-tokyo.jp/spring/ja-jp/about/wef.html
32,第7回 マーケティングWeek -春-（旧JapanマーケティングWeek 春）,2024/04/17,水,2024/04/19,金,南1-4,10:00-18:00,▲,商談,無料 (要登録),最新のマーケティングソリューションが集結する　日本最大のマーケティング専門展,マーケティングWeek 事務局（旧 JapanマーケティングWeek）,03-6739-4128,https://www.marketing-week.jp/spring/ja-jp.html
33,第7回 販促EXPO【春】（マーケティングWeek内）,2024/04/17,水,2024/04/19,金,南1-4,10:00-18:00,▲,商談,無料 (要登録),販売促進に役立つ製品・サービスが一堂に出展する日本最大の販促専門展,マーケティングWeek 事務局（旧 JapanマーケティングWeek）,03-6739-4128,https://www.marketing-week.jp/spring/ja-jp/about/sp.html
34,第7回 広告メディア EXPO【春】（マーケティングWeek内）,2024/04/17,水,2024/04/19,金,南1-4,10:00-18:00,▲,商談,無料 (要登録),TVCM、屋外広告、インストアメディアなど、あらゆる広告メディアが出展,マーケティングWeek 事務局（旧 JapanマーケティングWeek）,03-6739-4128,https://www.marketing-week.jp/spring/ja-jp/about/ad.html
35,第7回 Web・SNS活用 EXPO【春】（マーケティングWeek内）,2024/04/17,水,2024/04/19,金,南1-4,10:00-18:00,▲,商談,無料 (要登録),SNS、口コミ、Web広告など、あらゆるWeb・SNSマーケティングが一堂に出展,マーケティングWeek 事務局（旧 JapanマーケティングWeek）,03-6739-4128,https://www.marketing-week.jp/spring/ja-jp/about/wsp.html
36,第7回 営業支援EXPO【春】（マーケティングWeek内）,2024/04/17,水,2024/04/19,金,南1-4,10:00-18:00,▲,商談,無料 (要登録),SFA、CRM、営業代行など、営業強化・効率化のためのサービスが一堂に出展,マーケティングWeek 事務局（旧 JapanマーケティングWeek）,03-6739-4128,https://www.marketing-week.jp/spring/ja-jp/about/sse.html
37,第3回 CX・顧客育成 EXPO【春】（マーケティングWeek内）,2024/04/17,水,2024/04/19,金,南1-4,10:00-18:00,▲,商談,無料 (要登録),CXM、Web接客ツール、FAQなど、顧客分析・顧客体験の向上に特化した専門展,マーケティングWeek 事務局（旧 JapanマーケティングWeek）,03-6739-4128,https://www.marketing-week.jp/spring/ja-jp/about/cx.html
38, 第1回 データインサイトEXPO【春】（マーケティングWeek内）,2024/04/17,水,2024/04/19,金,南1-4,10:00-18:00,▲,商談,無料 (要登録),マーケティング戦略における市場リサーチや顧客データ活用にフォーカスした展示会,マーケティングWeek 事務局（旧 JapanマーケティングWeek）,03-6739-4128,https://www.marketing-week.jp/spring/ja-jp/about/di.html
39,第1回 クリエイティブTech EXPO【春】（マーケティングWeek内）,2024/04/17,水,2024/04/19,金,南1-4,10:00-18:00,▲,商談,無料 (要登録),マーケティングコミニュケーションにおけるクリエイティブ作成に特化した専門展,マーケティングWeek 事務局（旧 JapanマーケティングWeek）,03-6739-4128,https://www.marketing-week.jp/spring/ja-jp/about/ct.html
40,第1回 ECグロースEXPO【春】（マーケティングWeek内）,2024/04/17,水,2024/04/19,金,南1-4,10:00-18:00,▲,商談,無料 (要登録),最新のECサイト構築、アプリ開発、OMOなど、ECサービスに特化した専門展,マーケティングWeek 事務局（旧 JapanマーケティングWeek）,03-6739-4128,https://www.marketing-week.jp/spring/ja-jp/about/ec.html
41,第50回ジャンボびっくり見本市,2024/04/19,金,2024/04/20,土,東7・8,4/19 10:00~18:00，4/20 9:00～17:00,,商談,無料,電設資材、照明、工具、FA、空調・住宅設備等に関する展示即売会です。,ジャンボびっくり見本市協催委員会,06-6533-6266,https://www.jumbo-fair.jp/
42,ドールズ パーティー51,2024/04/21,日,2024/04/21,日,南1・2,11:00-16:00,,一般,￥3000 (前売あり)ウェブをご参照ください,ドルフィーオーナー様に贈る世界最大級のドールイベント,イベント事務局,,https://dollfie.volks.co.jp/event/dolpa51/
43,第33回 Japan IT Week【春】,2024/04/24,水,2024/04/26,金,東1-8,10:00-18:00,▲,商談,￥5000 (招待券持参者無料),12の専門展から構成されている日本最大のIT展示会です。,主催者 RX Japan株式会社,03-6739-4104,https://www.japan-it.jp/spring/ja-jp.html
44,SPEXA（スペクサ） -Space Business Expo-,2024/04/24,水,2024/04/26,金,東1,10:00-18:00,▲,商談,無料 (要登録),開発・製造、データ利活用、宇宙空間利用など、宇宙ビジネスの全てが集まる展示会です,SPEXA 事務局,03-6739-4132,https://www.spexa.jp/tokyo/ja-jp.html
45,第33回 ソフトウェア＆アプリ開発 展【春】,2024/04/24,水,2024/04/26,金,東1-8,10:00-18:00,▲,商談,￥5000 (事前登録者無料),ソフトウェアやアプリの開発・保守・運用のための製品が一堂に出展する専門展です。,主催者 RX Japan株式会社,03-6739-4104,https://www.japan-it.jp/spring/ja-jp/about/sodec.html
46,第29回 営業DX EXPO【春】,2024/04/24,水,2024/04/26,金,東1-8,10:00-18:00,▲,商談,￥5000 (事前登録者無料),営業を効率化する製品・サービスが一堂に出展する専門展です。,主催者 RX Japan株式会社,03-6739-4104,https://www.japan-it.jp/spring/ja-jp/about/sodec.html
47,第27回 組込み/エッジ コンピューティング展【春】,2024/04/24,水,2024/04/26,金,東1-8,10:00-18:00,▲,商談,￥5000 (事前登録者無料),あらゆる電子機器の開発、制御に必要な組込み技術が集結する専門展です。,主催者 RX Japan株式会社,03-6739-4104,https://www.japan-it.jp/spring/ja-jp/about/esec.html
48,第26回 IT運用管理＆データセンターEXPO【春】,2024/04/24,水,2024/04/26,金,東1-8,10:00-18:00,▲,商談,￥5000 (事前登録者無料),データセンターを構築する製品・サービスが集う専門展です。,主催者 RX Japan株式会社,03-6739-4104,https://www.japan-it.jp/spring/ja-jp/about/dse.html
49, 第21回 情報セキュリティEXPO【春】,2024/04/24,水,2024/04/26,金,東1-8,10:00-18:00,▲,商談,￥5000 (事前登録者無料),情報セキュリティに関するあらゆる製品・サービスが一堂に出展する専門展です。,主催者 RX Japan株式会社,03-6739-4104,https://www.japan-it.jp/spring/ja-jp/about/ist.html
50,第18回 デジタルマーケティング EXPO【春】,2024/04/24,水,2024/04/26,金,東1-8,10:00-18:00,▲,商談,￥5000 (事前登録者無料),マーケティングに関するあらゆる製品・サービスが一堂に出展する専門展です。,主催者 RX Japan株式会社,03-6739-4104,https://www.japan-it.jp/spring/ja-jp/about/webmo.html
51,第15回 クラウド業務改革EXPO【春】,2024/04/24,水,2024/04/26,金,東1-8,10:00-18:00,▲,商談,￥5000 (事前登録者無料),社内のDX化・業務改革を推進する専門展です。,主催者 RX Japan株式会社,03-6739-4104,https://www.japan-it.jp/spring/ja-jp/about/cloud.html
52,第13回 IoT ソリューション展【春】,2024/04/24,水,2024/04/26,金,東1-8,10:00-18:00,▲,商談,￥5000 (事前登録者無料),IoT関連の最新ソリューションが一堂に集結します。,主催者 RX Japan株式会社,03-6739-4104,https://www.japan-it.jp/spring/ja-jp/about/iot.html
53,第12回 次世代EC&店舗EXPO【春】,2024/04/24,水,2024/04/26,金,東1-8,10:00-18:00,▲,商談,￥5000 (事前登録者無料),店舗DX・通販支援サービスなどの製品・サービスが一堂に出展する専門展です。,主催者 RX Japan株式会社,03-6739-4104,https://www.japan-it.jp/spring/ja-jp/about/ec.html
54,第7回 AI･業務自動化展【春】,2024/04/24,水,2024/04/26,金,東1-8,10:00-18:00,▲,商談,￥5000 (事前登録者無料),業務を自動化するソリューションが一堂に出展する専門展です。,主催者 RX Japan株式会社,03-6739-4104,https://www.japan-it.jp/spring/ja-jp/about/ai.html
55,第2回 メタバース活用 EXPO【春】,2024/04/24,水,2024/04/26,金,東1-8,10:00-18:00,▲,商談,￥5000 (事前登録者無料),ビジネス活用のためのメタバース製品・サービスが一堂に出展する専門展です。,主催者 RX Japan株式会社,03-6739-4104,https://www.japan-it.jp/spring/ja-jp/about/meta.html
56,第1回 データドリブン経営EXPO【春】,2024/04/24,水,2024/04/26,金,東1-8,10:00-18:00,▲,商談,￥5000 (事前登録者無料),あるゆるデータを経営に活かすための製品・サービスが集結する専門展です。,主催者 RX Japan株式会社,03-6739-4104,https://www.japan-it.jp/spring/ja-jp/about/data.html
57,第48回2024日本ホビーショー,2024/04/25,木,2024/04/27,土,西1・2,9:40-17:00,,一般,未定ウェブをご参照ください,世界最大級のハンドメイドイベント,日本ホビーショー運営事務局,03-5206-5499,https://2024.hobbyshow.jp/
58,第17回ホビークッキングフェア2024,2024/04/25,木,2024/04/27,土,西4,9:40-17:00,,一般,未定ウェブをご参照ください,消費者と本音でふれあうことのできる食のマーケティングフェア, 一般社団法人 流通問題研究協会,03-6450-1294,https://www.hobbycook.jp/
59,ゲームマーケット2024春,2024/04/27,土,2024/04/28,日,東1-3,11:00-17:00,,一般,2000ウェブをご参照ください,国内最大規模のアナログゲーム体験・即売会,ゲームマーケット事務局,,https://www.gamemarket.jp/
60,第二十一回博麗神社例大祭,2024/05/03,金,2024/05/03,金,東4-6,10:30-15:30,,一般,￥2000 (前売あり)ウェブをご参照ください,東方Project作品オンリー同人誌即売会,博麗神社社務所,,https://reitaisai.com/rts21/
61,iTT [国際 ツーリズムトレードショー 東京 2024],2024/05/08,水,2024/05/10,金,東7,10:00-18:00,▲,商談,無料 (要登録),「観光/宿泊業」「ウェルネスツーリズム」に関わる商談展示会,主催者 RX Japan株式会社,03-6739-4124,https://www.itt-show.jp/tokyo/ja-jp.html
62,第2回 iWT（国際 ウェルネス ツーリズム EXPO）,2024/05/08,水,2024/05/10,金,東7,10:00-18:00,▲,商談,無料 (要登録),日本で唯一！ウェルネスツーリズムに特化した商談展示会,主催者 RX Japan株式会社,03-6739-4124,https://www.itt-show.jp/tokyo/ja-jp/about/iwt.html
63,第1回 観光DX・マーケティング EXPO,2024/05/08,水,2024/05/10,金,東7,10:00-18:00,▲,商談,無料 (要登録),初開催！観光事業者の課題を一挙に解決する 「稼ぐ観光」 を実現する商談展示会,主催者 RX Japan株式会社,03-6739-4124,https://www.itt-show.jp/tokyo/ja-jp/about/dx.html
64,第21回【東京】総務・人事・経理 Week 春,2024/05/08,水,2024/05/10,金,東1-6,10:00-18:00,▲,商談,無料 (要登録),日本最大 バックオフィス向け展示会！DX・業務効率化からオフィス環境改善まで実現,総務・人事・経理 Week 事務局,03-6739-4113,https://www.office-expo.jp/tokyo/ja-jp/visit.html?utm_campaign=visitor_jp&utm_medium=referral&utm_source=bigsight
65,第20回 オフィス防災 EXPO 春,2024/05/08,水,2024/05/10,金,東1-6,10:00-18:00,▲,商談,無料 (要登録),危機管理・災害対策に特化した展示会,オフィス防災 EXPO 事務局,03-6739-4113,https://www.office-expo.jp/tokyo/ja-jp/about/bousai.html?utm_campaign=visitor_jp&utm_medium=referral&utm_source=bigsight
66,第16回 総務サービス EXPO 春,2024/05/08,水,2024/05/10,金,東1-6,10:00-18:00,▲,商談,無料 (要登録),DX・総務BPOなどあらゆる総務向けサービスが出展する展示会,総務サービス EXPO 事務局,03-6739-4113,https://www.office-expo.jp/tokyo/ja-jp/about/ofs.html?utm_campaign=visitor_jp&utm_medium=referral&utm_source=bigsight
67,第14回 HR EXPO 春,2024/05/08,水,2024/05/10,金,東1-6,10:00-18:00,▲,商談,無料 (要登録),日本最大！人事業務を支援するサービスが一堂に出展する展示会,HR EXPO 事務局,03-6739-4113,https://www.office-expo.jp/tokyo/ja-jp/about/hr.html?utm_campaign=visitor_jp&utm_medium=referral&utm_source=bigsight
68,第13回 働き方改革 EXPO 春,2024/05/08,水,2024/05/10,金,東1-6,10:00-18:00,▲,商談,無料 (要登録),DXからオフィス環境改善まで、働き方改革の実現を促進するための展示会,働き方改革 EXPO 事務局,03-6739-4113,https://www.office-expo.jp/tokyo/ja-jp/about/ws.html?utm_campaign=visitor_jp&utm_medium=referral&utm_source=bigsight
69,第11回 会計・財務 EXPO 春,2024/05/08,水,2024/05/10,金,東1-6,10:00-18:00,▲,商談,無料 (要登録),日本最大の経理・財務部向け展示会,会計・財務 EXPO 事務局,03-6739-4113,https://www.office-expo.jp/tokyo/ja-jp/about/acc.html?utm_campaign=visitor_jp&utm_medium=referral&utm_source=bigsight
70,第9回 福利厚生 EXPO 春,2024/05/08,水,2024/05/10,金,東1-6,10:00-18:00,▲,商談,無料 (要登録),人材定着・従業員満足度向上に貢献！福利厚生に特化した展示会,福利厚生 EXPO 事務局,03-6739-4113,https://www.office-expo.jp/tokyo/ja-jp/about/wel.html?utm_campaign=visitor_jp&utm_medium=referral&utm_source=bigsight
71,第7回 法務・知財 EXPO 春,2024/05/08,水,2024/05/10,金,東1-6,10:00-18:00,▲,商談,無料 (要登録),企業法務・知財サービスからリーガルテックまで一堂に出展する展示会,法務・知財 EXPO 事務局,03-6739-4113,https://www.office-expo.jp/tokyo/ja-jp/about/legal.html?utm_campaign=visitor_jp&utm_medium=referral&utm_source=bigsight
72,第6回 PR EXPO 春,2024/05/08,水,2024/05/10,金,東1-6,10:00-18:00,▲,商談,無料 (要登録),広報の最新トレンドを掴める展示会！業務効率化から広報戦略の最適化まで一堂に出展,PR EXPO 事務局,03-6739-4113,https://www.office-expo.jp/tokyo/ja-jp/about/pr.html?utm_campaign=visitor_jp&utm_medium=referral&utm_source=bigsight
73,第4回 健康経営 EXPO 春,2024/05/08,水,2024/05/10,金,東1-6,10:00-18:00,▲,商談,無料 (要登録),あらゆる健康経営サービスを一堂に比較検討できる展示会,健康経営 EXPO 事務局,03-6739-4113,https://www.office-expo.jp/tokyo/ja-jp/about/hel.html?utm_campaign=visitor_jp&utm_medium=referral&utm_source=bigsight
74,第15回 EDIX（教育総合展）東京,2024/05/08,水,2024/05/10,金,西1-4,10:00-18:00,▲,商談,無料 (要登録),日本最大級の教育分野の展示会です。,主催者 RX Japan株式会社,03-3349-8749,https://www.edix-expo.jp/tokyo/ja-jp.html
75,ビューティーワールド ジャパン 東京,2024/05/13,月,2024/05/15,水,東1-8,5/15～5/16 10:00～18:00， 5/17 10:00～16:30,,商談,無料 (要登録),ビューティに関する最新製品，情報，技術が一堂に会する総合ビューティ見本市,ビューティーワールド ジャパン事務局,050-3738-4675,https://beautyworld-japan.jp.messefrankfurt.com/tokyo/ja.html
76,自治体総合フェア2024,2024/05/15,水,2024/05/17,金,西3,10:00-17:00,,商談,無料 (要登録),自治体が抱える課題に対し、実務的なソリューションを提案する総合展示会,自治体総合フェア事務局,03-3403-1338,https://www.noma-lgf.com
77,企業立地フェア2024,2024/05/15,水,2024/05/17,金,西3,10:00-17:00,,商談,無料 (要登録),各自治体や団体の企業誘致の施策や地域の魅力発信する展示会,企業立地フェア事務局,03-3403-1333,https://www.noma-bcd.com
78,創立55周年記念式典,2024/05/18,土,2024/05/18,土,東2・3,,,,,,,,
79,2024 NEW環境展,2024/05/22,水,2024/05/24,金,東1-6,10:00-17:00,▲,商談,￥1000 (事前登録者無料)事務局へお問合せください,最新の環境リサイクル機器や地球温暖化対策の技術が一堂に会し間近に感じられる見本市,NEW環境展／地球温暖化防止展　事務局,03-3262-3562,https://www.n-expo.jp/
80,NexTech Week2024【春】,2024/05/22,水,2024/05/24,金,西1・2,10:00-18:00,▲,商談,無料 (要登録),AI・ブロックチェーン・量子の最新テクノロジーとデジタル人材の4つの展示会で構成,主催者 RX Japan株式会社,03-6739-4131,https://www.nextech-week.jp/hub/ja-jp.html
81,第8回 AI・人工知能 EXPO【春】,2024/05/22,水,2024/05/24,金,西1・2,10:00-18:00,▲,商談,無料 (要登録),生成AI、ディープラーニング、機械学習、音声・画像認識などあらゆるAIサービスが出展,主催者 RX Japan株式会社,03-6739-4131,https://www.nextech-week.jp/hub/ja-jp/visit/ai.html
82,第5回 ブロックチェーン EXPO【春】,2024/05/22,水,2024/05/24,金,西1・2,10:00-18:00,▲,商談,無料 (要登録),最新の研究からアプリケーションまで、ブロックチェーン技術のすべてが一堂に出展,主催者 RX Japan株式会社,03-6739-4131,https://www.nextech-week.jp/hub/ja-jp/visit/bc.html
83,第4回 量子コンピューティング EXPO【春】,2024/05/22,水,2024/05/24,金,西1・2・4,10:00-18:00,▲,商談,無料 (要登録),最新の研究からアプリケーションまで、量子コンピュータ技術のすべてが一堂に出展。,主催者 RX Japan株式会社,03-6739-4131,https://www.nextech-week.jp/hub/ja-jp/visit/qc.html
84,第3回 デジタル人材育成支援 EXPO【春】,2024/05/22,水,2024/05/24,金,西1・2,10:00-18:00,▲,商談,無料 (要登録),デジタル人材の育成を支援するソリューションが一堂に出展,主催者 RX Japan株式会社,03-6739-4131,https://www.nextech-week.jp/hub/ja-jp/visit/dxh.html
85,ifia JAPAN2024（第29回 国際食品素材／添加物展・会議）,2024/05/22,水,2024/05/24,金,南1-4,10:00-17:00,,商談,￥3000 (事前登録者無料)ウェブをご参照ください事務局へお問合せください,食の安全、おいしさと健康に関する食品技術・開発者が一堂に会する展示会・会議,ifia/HFE JAPAN事務局（食品化学新聞社）,03-3238-7520,https://www.ifiajapan.com/
86,HFE JAPAN2024（第22回 健康・機能性食品素材展・会議）,2024/05/22,水,2024/05/24,金,南1-4,10:00-17:00,,商談,￥3000 (事前登録者無料)ウェブをご参照ください事務局へお問合せください,健康・機能性食品素材関連企業が一堂に会する健康と食を科学する展示会と会議,ifia/HFE JAPAN事務局（食品化学新聞社）,03-3238-7520,https://www.ifiajapan.com/
87,キャリタス就活フォーラム,2024/05/25,土,2024/05/25,土,東4・5,11:00-17:00,,一般,無料,インターンシップ・キャリアの合同企業説明会,キャリタス就活フォーラム,03-5804-5537,https://job.career-tasu.jp/event/
88,JECA FAIR 2024 ～第72回電設工業展～,2024/05/29,水,2024/05/31,金,東1-3,5/29 10:30～17:00， 5/30 10:00～17:00， 5/31 10:00～16:30,,商談,無料 (要登録),電気設備に関する資機材、工具、計測器、ソフト、システム等の電気設備総合展示会,JECA FAIR 事務局,03-5413-2163,https://www.jecafair.jp/
89,オルガテック東京2024,2024/05/29,水,2024/05/31,金,東4-6,10:00-17:00,▲,商談,￥5000 (事前登録者無料)事務局へお問合せください,最新のオフィス空間デザイン、オフィス関連家具、素材が一堂に会する国際見本市,オルガテック東京事務局,,https://www.orgatec-tokyo.jp/
90,ワイヤレスジャパン2024,2024/05/29,水,2024/05/31,金,西3・4,10:00-18:00,▲,商談,無料 (要登録),最新の無線技術・通信技術を牽引し新ビジネスや社会の創造に挑む国内最大級の展示会,ワイヤレスジャパン×ワイヤレス・テクノロジー・パーク事務局,,https://www8.ric.co.jp/expo/wj/
91,ワイヤレス・テクノロジー・パーク（WTP）2024,2024/05/29,水,2024/05/31,金,西3・4,10:00-18:00,▲,商談,無料 (要登録),最新のワイヤレス技術・国の通信技術政策や大学による先端研究など産学官連携の展示会,ワイヤレスジャパン×ワイヤレス・テクノロジー・パーク事務局,,https://www8.ric.co.jp/expo/wj/
92,運輸安全・物流DX EXPO 2024,2024/05/29,水,2024/05/31,金,西3・4,10:00-18:00,▲,商談,無料 (要登録),運輸・物流業界の悩みを解決するIT/通信商品・ソリューションが終結する展示会,運輸安全・物流DX EXPO 事務局,,https://www.truckexpo.jp/2024/
